source_path,source_format,extraction_path_old_archive,status,basis,engine,characters,manifest
How hard is it to make a first principles estimate of an element’s….pdf,pdf,_AUTO_EXTRACTED_TEXT/How hard is it to make a first principles estimate of an element’s….txt,OK,manifest-exact,PyMuPDF,159492,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
LAB2_SAT_Dirac_And_Coupling_Closure_ReportLab.pdf,pdf,_AUTO_EXTRACTED_TEXT/LAB2_SAT_Dirac_And_Coupling_Closure_ReportLab.txt,OK,manifest-exact,PyMuPDF,924,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
LAB2_SAT_Dirac_Brackets_And_Closure_3D.pdf,pdf,_AUTO_EXTRACTED_TEXT/LAB2_SAT_Dirac_Brackets_And_Closure_3D.txt,OK,manifest-exact,PyMuPDF,911,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
LIGHT CONES AND ENTANGLEMENT (Nolat).pdf,pdf,_AUTO_EXTRACTED_TEXT/LIGHT CONES AND ENTANGLEMENT (Nolat).txt,OK,manifest-exact,PyMuPDF,11301,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
Lab2_Lagrangian_Captioned.pdf,pdf,_AUTO_EXTRACTED_TEXT/Lab2_Lagrangian_Captioned.txt,OK,manifest-exact,PyMuPDF,1022,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
Lab2_Lagrangian_Evolution.pdf,pdf,_AUTO_EXTRACTED_TEXT/Lab2_Lagrangian_Evolution.txt,OK,manifest-exact,OCRmyPDF + PyMuPDF,8107,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
MARCH 12 SYNTHESIS (nolat).pdf,pdf,_AUTO_EXTRACTED_TEXT/MARCH 12 SYNTHESIS (nolat).txt,OK,manifest-exact,PyMuPDF,29499,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
MEMORY.pdf,pdf,_AUTO_EXTRACTED_TEXT/MEMORY.txt,OK,manifest-exact,PyMuPDF,26250,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
MINKOWSKI PROPER 2.pdf,pdf,_AUTO_EXTRACTED_TEXT/MINKOWSKI PROPER 2.txt,OK,manifest-exact,OCRmyPDF + PyMuPDF,12577,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
MINKOWSKI PROPER.pdf,pdf,_AUTO_EXTRACTED_TEXT/MINKOWSKI PROPER.txt,OK,manifest-exact,OCRmyPDF + PyMuPDF,12577,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
MISC/4DHH LAGRANGIAN (nolat).pdf,pdf,_AUTO_EXTRACTED_TEXT/4DHH LAGRANGIAN (nolat).txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
MISC/CORE PACK.pdf,pdf,_AUTO_EXTRACTED_TEXT/CORE PACK.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
MISC/DERIVATIVE INDICATRIX (nolat).pdf,pdf,_AUTO_EXTRACTED_TEXT/DERIVATIVE INDICATRIX (nolat).txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
MISC/FINDING THE DONUT (nolat).pdf,pdf,_AUTO_EXTRACTED_TEXT/FINDING THE DONUT (nolat).txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
MISC/GRAVITATIONAL NANOSTRUCTURE (Nolat).pdf,pdf,_AUTO_EXTRACTED_TEXT/GRAVITATIONAL NANOSTRUCTURE (Nolat).txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
MISC/SAT_2026.pdf,pdf,_AUTO_EXTRACTED_TEXT/SAT_2026.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
MISC/Universal Indicatrix in my words CHARACTERIZATION (Nolat).pdf,pdf,_AUTO_EXTRACTED_TEXT/Universal Indicatrix in my words CHARACTERIZATION (Nolat).txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
McKnight_N_SAT-QR.pdf,pdf,_AUTO_EXTRACTED_TEXT/McKnight_N_SAT-QR.txt,OK,manifest-exact,PyMuPDF,3152,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
McKnight_et_al_SAT_Whitepaper_Number_One_02Jun25.pdf,pdf,_AUTO_EXTRACTED_TEXT/McKnight_et_al_SAT_Whitepaper_Number_One_02Jun25.txt,OK,manifest-exact,PyMuPDF,69264,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
Minimal Introduction (SAT O era).pdf,pdf,_AUTO_EXTRACTED_TEXT/Minimal Introduction (SAT O era).txt,OK,manifest-exact,PyMuPDF,3919,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
Minkowski-1-6 2.pdf,pdf,_AUTO_EXTRACTED_TEXT/Minkowski-1-6 2.txt,OK,manifest-exact,OCRmyPDF + PyMuPDF,12577,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
Minkowski-1-6.pdf,pdf,_AUTO_EXTRACTED_TEXT/Minkowski-1-6.txt,OK,manifest-exact,OCRmyPDF + PyMuPDF,12577,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
NSATOBLOC_pre_lean.pdf,pdf,_AUTO_EXTRACTED_TEXT/NSATOBLOC_pre_lean.txt,OK,manifest-exact,PyMuPDF,6310,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
NotebookLM_Captioned_Archive.pdf,pdf,_AUTO_EXTRACTED_TEXT/NotebookLM_Captioned_Archive.txt,OK,manifest-exact,PyMuPDF,418,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
OLD BIG PAPER SAT_4D_LEGACY_REFERENCE.pdf,pdf,_AUTO_EXTRACTED_TEXT/OLD BIG PAPER SAT_4D_LEGACY_REFERENCE.txt,OK,manifest-exact,PyMuPDF,123708,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
ONE FILE SAT 2.pdf,pdf,_AUTO_EXTRACTED_TEXT/ONE FILE SAT 2.txt,OK,manifest-exact,PyMuPDF,35553,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
Orders and Q numbers 2.pdf,pdf,_AUTO_EXTRACTED_TEXT/Orders and Q numbers 2.txt,OK,manifest-exact,PyMuPDF,5085,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
Orders and Q numbers.pdf,pdf,_AUTO_EXTRACTED_TEXT/Orders and Q numbers.txt,OK,manifest-exact,PyMuPDF,5085,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
